,link,Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
0,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1,Trả góp 0%      Tặng Office              Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 12.590.000₫  14.490.000₫ -13%  Quà 1.090.000₫,16 GB,512 GB,12.590.000,14.490.000,-13%,1.090.000,0
1,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1,Trả góp 0%                  Dell Inspiron 15 3520 i5 1235U (N5I5052W1)           RAM 16 GB SSD 512 GB  16.490.000₫  16.990.000₫  Quà 100.000₫,16 GB,512 GB,16.490.000,16.990.000,N/A,N/A,0
2,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,Trả góp 0%     Tặng Office              HP 15 fd0234TU i5 1334U (9Q969PA)           RAM 16 GB SSD 512 GB  16.790.000₫  19.790.000₫ -15%  Quà 1.190.000₫,16 GB,512 GB,16.790.000,19.790.000,-15%,1.190.000,0
3,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn,Trả góp 0%     Tặng Office              Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN)           RAM 16 GB SSD 512 GB  14.290.000₫  15.990.000₫ -10%  Quà 1.090.000₫,16 GB,512 GB,14.290.000,15.990.000,-10%,1.090.000,0
4,https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,Trả góp 0%     Tặng Office              Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002)           RAM 8 GB SSD 512 GB  10.990.000₫  12.990.000₫ -15%  Quà 1.090.000₫,8 GB,512 GB,10.990.000,12.990.000,-15%,1.090.000,0
5,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,Trả góp 0%     Tặng Office              HP 15 fc0085AU R5 7430U (A6VV8PA)           RAM 16 GB SSD 512 GB  13.590.000₫  15.190.000₫ -10%  Quà 1.190.000₫,16 GB,512 GB,13.590.000,15.190.000,-10%,1.190.000,0
6,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Vivobook 15 X1504ZA i3 1215U (NJ102W)           RAM 8 GB SSD 512 GB  Online giá rẻ quá 10.490.000₫  12.290.000₫ -14%  Quà 1.090.000₫,8 GB,512 GB,10.490.000,12.290.000,-14%,1.090.000,0
7,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,Trả góp 0%     Tặng Office              Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN)           RAM 16 GB SSD 512 GB  11.790.000₫  14.390.000₫ -18%  Quà 1.090.000₫,16 GB,512 GB,11.790.000,14.390.000,-18%,1.090.000,0
8,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,Trả góp 0%                  MacBook Air 13 inch M1           RAM 8 GB SSD 256 GB  Online giá rẻ quá 18.590.000₫  19.990.000₫ -7%,8 GB,256 GB,18.590.000,19.990.000,-7%,N/A,0
9,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,Trả góp 0%     Tặng Office              Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001)           RAM 16 GB SSD 512 GB  13.990.000₫  14.990.000₫ -6%  Quà 1.090.000₫,16 GB,512 GB,13.990.000,14.990.000,-6%,1.090.000,0
