Product_Name,Screen_Size,Storage,Price
iPhone 16 Pro Max           Super Retina XDR 6.,"6.9""","256GB, 512GB",34.490.000₫
iPhone 16 Pro           Super Retina XDR 6.,"6.3""","128GB, 256GB, 512GB",28.890.000₫
iPhone 16 Plus           Super Retina XDR 6.,"6.7""","128GB, 256GB, 512GB",25.990.000₫
iPhone 16           Super Retina XDR 6.,"6.1""","128GB, 256GB, 512GB",22.290.000₫
Samsung Galaxy S24 Ultra 5G           Quad HD+ (2K+) 6.,"6.8""","256GB, 512GB",29.990.000₫
Samsung Galaxy A16,"6.7""","128GB, 256GB",5.890.000₫
Samsung Galaxy A16 5G,"6.7""","256GB, 128GB",6.990.000₫
Xiaomi Redmi Note 13           Full HD+ 6.,"6.67""","8GB, 128GB, 8GB, 256GB",4.390.000₫
Xiaomi Redmi Note 13 Pro           Full HD+ 6.,"6.67""","128GB, 256GB",5.990.000₫
iPhone 15           Super Retina XDR 6.,"6.1""","128GB, 256GB, 512GB",19.890.000₫
iPhone 14           Super Retina XDR 6.,"6.1""","128GB, 256GB",17.490.000₫
Xiaomi Redmi 13           Full HD+ 6.,"6.79""","6GB, 8GB",3.790.000₫
Samsung Galaxy A55 5G           Full HD+ 6.,"6.6""","12GB, 256GB, 8GB, 128GB, 8GB, 256GB",10.990.000₫
Samsung Galaxy A06           HD+ 6.,"6.7""","4GB, 64GB, 6GB, 128GB, 4GB, 128GB",2.890.000₫
Xiaomi 14T 5G           1.5K 6.,"6.67""","256GB, 512GB",11.990.000₫
iPhone 16 Pro Max           Super Retina XDR 6.,"6.9""","256GB, 512GB",34.490.000₫
iPhone 16 Pro           Super Retina XDR 6.,"6.3""","128GB, 256GB, 512GB",28.890.000₫
iPhone 16 Plus           Super Retina XDR 6.,"6.7""","128GB, 256GB, 512GB",25.990.000₫
iPhone 16           Super Retina XDR 6.,"6.1""","128GB, 256GB, 512GB",22.290.000₫
Samsung Galaxy S24 Ultra 5G           Quad HD+ (2K+) 6.,"6.8""","256GB, 512GB",29.990.000₫
Samsung Galaxy A16,"6.7""","128GB, 256GB",5.890.000₫
Samsung Galaxy A16 5G,"6.7""","256GB, 128GB",6.990.000₫
