id,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Webcam,Tính năng khác,Đèn bàn phím,Kích thước,Khối lượng tịnh,Chất liệu,Thông tin Pin,Công suất bộ sạc,Hệ điều hành,Thời điểm ra mắt,Khe đọc thẻ nhớ,Tản nhiệt,Màn hình cảm ứng
311180,Intel Core i5 Alder Lake - 12500H,12,16,2.5GHz,N/A,18 MB,N/A,N/A,2933 MHz,16 GB,N/A,"15.6""",Full HD (1920 x 1080) OLED,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - Intel Iris Xe Graphics,N/A,1 x USB 2.0,Bluetooth 5.3,N/A,N/A,Không có đèn,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm,1.7 kg,N/A,N/A,65 W,N/A,2023,,,
327872,AMD Ryzen 7 - 7435HS,8,16,3.1GHz,N/A,16 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",Bluetooth 5.3,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,N/A,N/A,240 W,N/A,2024,,,
326831,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,N/A,3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,"14""",N/A,N/A,62.5% sRGB,N/A,Card tích hợp - Intel Graphics,N/A,1 x Headphone/microphone combo,Bluetooth 5.3,HP TrueVision 5 MP,Màn hình gập 360 độ,Đơn sắc - Màu trắng,Dài 322 mm - Rộng 210 mm - Dày 18.9 mm,1.51 kg,N/A,N/A,65 W,N/A,2024,N/A,,N/A
308526,Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,,BrightView,Card rời - NVIDIA GeForce MX550 2 GB,N/A,N/A,N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.74 kg,N/A,"3 cell, 41.04 Wh",65 W,N/A,2022,,,
329867,Intel Core Ultra 5 Meteor Lake - 125U,12,14,1.3GHz,N/A,12 MB,N/A,N/A,5600 MHz,32 GB,N/A,"14""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Arc Graphics,N/A,"1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",Bluetooth 5,Full HD Webcam,,Không có đèn,Dài 314.4 mm - Rộng 221.9 mm - Dày 17.5 mm,1.27 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 58 Wh",65 W,N/A,2024,N/A,,
327049,Intel Core Ultra 5 Meteor Lake - 125H,14,18,1.2GHz,N/A,18 MB,N/A,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,N/A,"14""","WUXGA, OLED",N/A,100% DCI-P3,Chuẩn DisplayHDR True Black 500,Card tích hợp - Intel Arc Graphics,N/A,2 x USB Type-C 3.2 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4),N/A,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312 mm - Rộng 221 mm - Dày 16.9 mm,1.48 kg,Vỏ kim loại - Nhôm,N/A,65 W,N/A,,N/A,,
325512,Intel Core Ultra 7 Meteor Lake - 155H,16,22,3.8GHz,N/A,24 MB,32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,N/A,"14""","WUXGA, OLED",N/A,100% DCI-P3,N/A,Card tích hợp - Intel Arc Graphics,N/A,"2 x USB Type-C (hỗ trợ Thunderbolt 4 / USB4, Power Delivery 3.1 và DisplayPort 1.4)",Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312 mm - Rộng 221 mm - Dày 14.9 mm,1.39 kg,Vỏ kim loại - Nhôm,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,,,,
325586,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,N/A,5200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,"14""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",Bluetooth 5.3,N/A,,Đơn sắc - Màu xanh,Dài 314.7 mm - Rộng 233.5 mm - Dày 22.3 mm,1.6 kg,N/A,N/A,120 W,N/A,,,Cooler Boost,
325953,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,N/A,5200 MHz,24 GB,N/A,"14""",Full HD+,N/A,,N/A,Card tích hợp - Intel Graphics,Waves MaxxAudio Pro,1 x Headphone/microphone combo,Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 314 mm - Rộng 226.6 mm - Dày 18.9 mm,1.56 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
302266,Intel Core i3 Alder Lake - 1215U,6,8,1.2GHz,N/A,10 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel UHD Graphics,Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 235.56 mm - Dày 16.96 ~ 18.99 mm,1.9 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2022,N/A,,
305655,Intel Core i3 Alder Lake - 1215U,6,8,1.2GHz,N/A,10 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel UHD Graphics,Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm,1.83 kg,N/A,N/A,,Windows 11 Home SL + Office Home & Student vĩnh viễn,2022,N/A,,
311145,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,16 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Iris Xe Graphics,Audio by B&O,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)",N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm,1.69 kg,Vỏ kim loại - Nắp lưng bằng nhựa,N/A,45 W,N/A,2023,,,
